Year,Note Position,Worker Name,month,Season,Day,Reason,Reason Group,Count
RAMII-40,Front,Penduauu,1,Spring,14,DRINKING WITH KHONSU,with other named people,1
RAMII-40,Front,Hornefer,2,Winter,13,WITH HIS BOSS,with his boss,1
RAMII-40,Front,Hornefer,2,Winter,14,WITH HIS BOSS,with his boss,1
RAMII-40,Front,Hornefer,2,Winter,15,WITH HIS BOSS,with his boss,1
RAMII-40,Front,Hornefer,2,Winter,16,WITH HIS BOSS,with his boss,1
RAMII-40,Front,Hornefer,2,Winter,17,WITH HIS BOSS,with his boss,1
RAMII-40,Front,Hornefer,2,Winter,23,WITH HIS BOSS,with his boss,1
RAMII-40,Front,Hornefer,2,Summer,10,ILL,ill,1
RAMII-40,Front,Sawadjyt,3,Spring,23,WITH HIS BOSS,with his boss,1
RAMII-40,Front,Sawadjyt,3,Spring,24,WITH HIS BOSS,with his boss,1
RAMII-40,Front,Sawadjyt,4,Spring,16,HIS DAUGHTER WAS BLEEDING,female relative bleeding,1
RAMII-40,Front,Sawadjyt,1,Winter,14,OFFERING TO THE GOD,feast,1
RAMII-40,Front,Sawadjyt,1,Winter,15,OFFERING TO THE GOD,feast,1
RAMII-40,Front,Sawadjyt,1,Winter,24,LIBATING TO HIS FATHER,funenary cerimony,1
RAMII-40,Front,Sawadjyt,1,Winter,25,LIBATING TO HIS FATHER,funenary cerimony,1
RAMII-40,Front,Sawadjyt,1,Winter,26,LIBATING TO HIS FATHER,funenary cerimony,1
RAMII-40,Front,Sawadjyt,1,Winter,28,WITH HIS BOSS ,with his boss,1
RAMII-40,Front,Sawadjyt,2,Summer,14,WITH HIS BOSS,with his boss,1
RAMII-40,Front,Horemwia,3,Spring,21,WITH HIS BOSS,with his boss,1
RAMII-40,Front,Horemwia,3,Spring,22,WITH HIS BOSS,with his boss,1
RAMII-40,Front,Horemwia,2,Winter,8,BREWING BEER,brewing beer,1
RAMII-40,Front,Horemwia,3,Summer,17,ILL,funenary cerimony,1
RAMII-40,Front,Horemwia,4,Summer,18,ILL,funenary cerimony,1
RAMII-40,Front,Horemwia,5,Summer,21,ILL,funenary cerimony,1
RAMII-40,Front,Horemwia,6,Summer,22,ILL,funenary cerimony,1
RAMII-40,Front,Horemwia,2,Summer,4,WITH HIS BOSS,with his boss,1
RAMII-40,Front,Horemwia,2,Summer,,WITH HIS BOSS,with his boss,1
RAMII-40,Front,Horemwia,4,Summer,4,ILL,funenary cerimony,1
RAMII-40,Front,Horemwia,4,Summer,5,ILL,funenary cerimony,1
RAMII-40,Front,Horemwia,4,Summer,6,ILL,funenary cerimony,1
RAMII-40,Front,Horemwia,4,Summer,7,ILL ,funenary cerimony,1
RAMII-40,Front,Amennakht,4,Spring,15,WITH HIS BOSS,with his boss,1
RAMII-40,Front,Amennakht,4,Spring,16,WITH HIS BOSS,with his boss,1
RAMII-40,Front,Amennakht,4,Spring,17,WITH HIS BOSS,with his boss,1
RAMII-40,Front,Amennakht,3,Winter,18,BREWING BEER,brewing beer,1
RAMII-40,Front,Amennakht,2,Summer,4,WITH HIS BOSS,with his boss,1
RAMII-40,Front,Amennakht,2,Summer,7,WITH HIS BOSS,with his boss,1
RAMII-40,Front,Amennakht,2,Summer,8,WITH HIS BOSS,with his boss,1
RAMII-40,Front,Amennakht,3,Summer,24,WITH HIS BOSS,with his boss,1
RAMII-40,Front,Amennakht,3,Summer,25,WITH HIS BOSS,with his boss,1
RAMII-40,Front,Amennakht,3,Summer,26,WITH HIS BOSS,with his boss,1
RAMII-40,Front,Wadjmose,4,Winter,23,HIS DAUGHTER WAS BLEEDING,female relative bleeding,1
RAMII-40,Front,Wadjmose,4,Summer,6,BUILDING HIS HOUSE,building his house,1
RAMII-40,Front,Nebamentet,,,,,,1
RAMII-40,Front,Hehnekhu,1,Summer,16,WITH HIS BOSS,with his boss,1
RAMII-40,Front,Hehnekhu,1,Summer,17,WITH HIS BOSS,with his boss,1
RAMII-40,Front,Hehnekhu,2,Summer,7,WRAPPING ,funenary cerimony,1
RAMII-40,Front,Hehnekhu,2,Summer,8,WRAPPING THE CORPSE OF HIS MOTHER,funenary cerimony,1
RAMII-40,Front,Nakhy,1,Spring,14,WITH HIS BOSS,with his boss,1
RAMII-40,Front,Nakhy,1,Spring,15,WITH HIS BOSS,with his boss,1
RAMII-40,Front,Nakhtmin,1,Winter,25,LIBATING,funenary cerimony,1
