,artist,year,song,danceability
0,Britney Spears,2000,Oops!...I Did It Again,0.751
1,blink-182,1999,All The Small Things,0.434
2,Faith Hill,1999,Breathe,0.529
3,Bon Jovi,2000,It's My Life,0.551
4,*NSYNC,2000,Bye Bye Bye,0.614
5,Sisqo,1999,Thong Song,0.706
6,Eminem,2000,The Real Slim Shady,0.949
7,Robbie Williams,2000,Rock DJ,0.708
8,Destiny's Child,1999,Say My Name,0.713
9,Modjo,2001,Lady - Hear Me Tonight,0.72
10,Gigi D'Agostino,2011,L'Amour Toujours,0.617
11,Eiffel 65,1999,Move Your Body - Gabry Ponte Original Radio Edit,0.745
12,Bomfunk MC's,2000,Freestyler,0.822
13,Sting,1999,Desert Rose,0.586
14,Melanie C,1999,Never Be The Same Again,0.689
15,Aaliyah,2002,Try Again,0.797
16,Anastacia,1999,I'm Outta Love - Radio Edit,0.761
17,Alice Deejay,2000,Better Off Alone,0.671
18,Gigi D'Agostino,1999,The Riddle,0.74
19,Dr. Dre,1999,The Next Episode,0.922
20,Linkin Park,2000,In the End,0.556
21,Tom Jones,1999,Sexbomb,0.801
22,Sonique,2000,It Feels So Good,0.634
23,M.O.P.,2000,Cold as Ice,0.656
24,Melanie C,1999,I Turn To You,0.522
25,Limp Bizkit,2000,Take A Look Around,0.425
26,Darude,2001,Sandstorm,0.528
27,Da Brat,2000,What'chu Like (feat. Tyrese),0.879
28,Moloko,2000,The Time Is Now,0.682
29,Chicane,2016,Don't Give Up,0.644
30,DMX,1999,Party Up,0.51
31,Debelah Morgan,2000,Dance with Me,0.85
32,Madonna,2000,Music,0.736
33,Ruff Endz,2000,No More,0.839
34,Britney Spears,1999,Born to Make You Happy,0.633
35,Montell Jordan,1999,Get It On Tonite,0.813
36,Kylie Minogue,2000,Spinning Around,0.761
37,JAY-Z,1999,Big Pimpin',0.88
38,LeAnn Rimes,2001,I Need You,0.478
39,Avant,2000,Separated,0.798
40,Enrique Iglesias,1999,Be With You,0.683
41,Toni Braxton,2000,He Wasn't Man Enough,0.739
42,Bow Wow,2000,Bounce With Me (feat. Xscape) - Edited Album Version,0.852
43,Dr. Dre,1999,Forgot About Dre,0.924
44,Missy Elliott,1998,Hot Boyz,0.727
45,Backstreet Boys,1999,Show Me the Meaning of Being Lonely,0.63
46,Samantha Mumba,2018,Gotta Tell You,0.729
47,Mýa,2000,Case Of The Ex (Whatcha Gonna Do),0.772
48,Mary Mary,2000,Shackles (Praise You),0.779
49,Next,2004,Wifey,0.829
50,Janet Jackson,2001,Doesn't Really Matter,0.771
51,Ricky Martin,2000,She Bangs - English Version,0.63
52,Jagged Edge,2000,He Can't Love U,0.721
53,Sisqo,1999,Incomplete,0.746
54,JAY-Z,2000,I Just Wanna Love U (Give It 2 Me),0.8
55,Mariah Carey,1999,Thank God I Found You (feat. Joe & 98°),0.348
56,Baha Men,2000,Who Let The Dogs Out,0.869
57,Donell Jones,1999,"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",0.854
58,LeAnn Rimes,2001,Can't Fight The Moonlight,0.628
59,Oasis,2000,Go Let It Out,0.408
60,DJ Ötzi,2010,Hey Baby (Radio Mix),0.666
61,P!nk,2000,Most Girls,0.742
62,Mariah Carey,2011,Against All Odds (Take A Look at Me Now) (feat. Westlife),0.471
63,Craig David,2000,Fill Me In,0.682
64,Christina Aguilera,1999,I Turn to You,0.599
65,Madonna,2000,American Pie,0.631
66,Red Hot Chili Peppers,1999,Otherside,0.458
67,Sammie,2000,I Like It,0.826
68,Craig David,2000,7 Days,0.659
69,Santana,1999,Maria Maria (feat. The Product G&B),0.777
70,Kandi,2000,Don't Think I'm Not,0.859
71,P!nk,2000,There You Go,0.822
72,Vengaboys,2000,Shalala Lala,0.751
73,Ronan Keating,2000,Life Is A Rollercoaster,0.655
74,Madison Avenue,1999,Don't Call Me Baby,0.808
75,Destiny's Child,1999,"Jumpin', Jumpin'",0.771
76,Céline Dion,1999,That's the Way It Is,0.634
77,3 Doors Down,2000,Kryptonite,0.545
78,Carl Thomas,2000,I Wish,0.736
79,Mystikal,2000,Shake Ya Ass,0.914
80,Fuel,2000,Hemorrhage (In My Hands),0.313
81,Donell Jones,1999,Where I Wanna Be,0.664
82,Savage Garden,1999,Crash and Burn,0.581
83,Westlife,2000,My Love,0.491
84,All Saints,2000,Pure Shores,0.631
85,Destiny's Child,2001,"Independent Women, Pt. 1",0.73
86,*NSYNC,2000,It's Gonna Be Me,0.644
87,Erykah Badu,2000,Bag Lady,0.724
88,Marc Anthony,1999,You Sang To Me,0.578
89,Matchbox Twenty,2000,Bent,0.518
90,Gabrielle,2001,Rise,0.558
91,Backstreet Boys,2000,Shape of My Heart,0.575
92,Creed,1999,With Arms Wide Open,0.41
93,The Corrs,2000,Breathless,0.607
94,Joe,2000,I Wanna Know,0.725
